post_id,account_id,account_type,follower_count,media_type,content_category,traffic_source,has_call_to_action,post_date,post_hour,day_of_week,likes,comments,shares,saves,reach,impressions,engagement_rate,followers_gained,caption_length,hashtags_count,performance_bucket_label
IG0000001,7,brand,3551,reel,Technology,Home Feed,1,30-11-2024,6,Saturday,194,5,7,34,4327,6230,3.85,899,100,7,medium
IG0000002,20,creator,31095,image,Fitness,Hashtags,1,15-08-2025,15,Friday,449,10,21,68,7451,8268,6.63,805,122,5,viral
IG0000003,15,brand,8167,reel,Beauty,Reels Feed,0,11-09-2025,16,Thursday,114,2,1,22,1639,2616,5.31,758,115,8,high
IG0000004,11,creator,9044,carousel,Music,External,0,18-09-2025,3,Thursday,91,0,7,0,2877,3171,3.09,402,115,7,medium
IG0000005,8,creator,15986,reel,Technology,Profile,0,21-03-2025,9,Friday,154,8,5,21,5350,8503,2.21,155,112,9,low
IG0000006,7,brand,3551,carousel,Photography,Reels Feed,1,06-05-2025,8,Tuesday,149,3,4,23,2668,3472,5.16,904,111,5,high
IG0000007,19,creator,3447,carousel,Food,Explore,1,21-09-2025,9,Sunday,371,9,14,54,5018,7671,5.84,701,132,8,viral
IG0000008,11,brand,9044,reel,Technology,Profile,0,06-01-2025,18,Monday,18,1,0,3,1078,1357,1.62,894,118,8,low
IG0000009,11,brand,9044,reel,Beauty,Reels Feed,0,13-10-2025,5,Monday,132,4,7,17,1900,2436,6.57,739,112,7,viral
IG0000010,4,creator,4972,reel,Music,Hashtags,0,10-03-2025,11,Monday,101,2,3,12,2155,2942,4.01,611,114,6,high
IG0000011,8,creator,15986,reel,Fitness,Home Feed,0,09-04-2025,10,Wednesday,418,11,21,60,14307,20978,2.43,390,110,6,low
IG0000012,3,creator,10018,carousel,Beauty,Hashtags,1,03-05-2025,14,Saturday,49,6,2,3,762,1098,5.46,240,121,8,high
IG0000013,2,brand,22291,image,Beauty,Explore,0,23-08-2025,19,Saturday,111,1,7,24,4364,6329,2.26,493,116,8,low
IG0000014,12,creator,13798,image,Food,Reels Feed,1,13-04-2025,13,Sunday,183,6,10,21,3997,6107,3.6,792,123,9,high
IG0000015,6,brand,10034,reel,Lifestyle,Home Feed,1,16-03-2025,11,Sunday,333,10,15,48,5240,6377,6.37,808,124,6,viral
IG0000016,2,creator,22291,reel,Music,Hashtags,1,06-12-2024,18,Friday,271,8,13,47,5981,8127,4.17,752,123,8,high
IG0000017,1,creator,9461,image,Travel,External,0,11-07-2025,20,Friday,138,1,4,18,4489,5263,3.06,920,133,8,medium
IG0000018,12,creator,13798,carousel,Beauty,Home Feed,0,08-01-2025,11,Wednesday,261,5,16,35,6267,9464,3.35,923,119,14,medium
IG0000019,12,creator,13798,image,Lifestyle,External,0,20-06-2025,6,Friday,120,9,5,24,8187,11264,1.4,892,107,4,low
IG0000020,17,brand,15923,carousel,Travel,External,0,13-06-2025,4,Friday,39,0,2,7,3345,4755,1.01,216,135,2,low
IG0000021,10,creator,4542,image,Music,External,0,11-02-2025,14,Tuesday,303,0,12,52,3950,5435,6.75,87,115,11,viral
IG0000022,16,creator,9696,reel,Fashion,Reels Feed,0,04-10-2025,15,Saturday,444,17,24,63,9965,13354,4.1,742,129,12,high
IG0000023,15,creator,8167,carousel,Photography,Home Feed,0,26-02-2025,10,Wednesday,1946,52,96,264,29461,45796,5.15,311,103,6,high
IG0000024,15,creator,8167,image,Lifestyle,Profile,1,20-03-2025,19,Thursday,78,2,2,11,4093,6214,1.5,64,111,8,low
IG0000025,19,creator,3447,carousel,Comedy,Profile,1,08-05-2025,16,Thursday,68,2,2,7,3610,4454,1.77,394,109,8,low
IG0000026,12,brand,13798,carousel,Fashion,Hashtags,0,18-02-2025,5,Tuesday,392,9,27,51,4994,6583,7.28,243,128,10,viral
IG0000027,20,creator,31095,carousel,Photography,Reels Feed,0,29-11-2024,19,Friday,843,24,42,117,17491,26749,3.84,925,133,4,medium
IG0000028,3,creator,10018,carousel,Food,Profile,0,19-10-2025,21,Sunday,170,5,8,29,4842,6834,3.1,559,117,6,medium
IG0000029,5,creator,10739,reel,Technology,Explore,1,01-08-2025,5,Friday,76,2,3,3,3605,4679,1.8,382,118,13,low
IG0000030,19,creator,3447,carousel,Fitness,External,1,26-07-2025,11,Saturday,0,5,18,52,8818,10172,0.74,286,147,12,medium
IG0000031,7,creator,3551,reel,Comedy,Home Feed,0,25-04-2025,19,Friday,65,0,10,11,1555,2211,3.89,419,106,5,medium
IG0000032,9,creator,6916,image,Food,Profile,1,25-05-2025,7,Sunday,253,0,16,36,5064,7689,3.97,114,101,4,high
IG0000033,7,creator,3551,reel,Music,Home Feed,0,17-04-2025,19,Thursday,56,4,2,10,3493,4286,1.68,882,126,8,low
IG0000034,18,creator,7486,carousel,Food,Explore,1,02-09-2025,4,Tuesday,836,21,40,132,12648,19638,5.24,888,123,9,high
IG0000035,4,creator,4972,image,Technology,External,1,14-07-2025,20,Monday,104,3,5,17,2063,2340,5.51,916,95,6,high
IG0000036,14,brand,3083,reel,Music,Explore,0,02-02-2025,10,Sunday,607,22,31,78,10668,14021,5.26,861,116,8,high
IG0000037,18,creator,7486,reel,Comedy,Reels Feed,0,01-12-2024,1,Sunday,0,6,14,42,15570,17200,0.36,336,114,5,low
IG0000038,9,creator,6916,carousel,Technology,Reels Feed,0,08-11-2025,7,Saturday,12,0,0,2,623,845,1.66,311,110,6,low
IG0000039,2,creator,22291,image,Travel,External,1,11-04-2025,7,Friday,927,21,47,151,17275,21598,5.31,621,130,9,high
IG0000040,20,brand,31095,image,Fitness,Hashtags,0,10-07-2025,7,Thursday,197,0,7,36,7200,11331,2.12,907,111,7,low
IG0000041,15,brand,8167,image,Comedy,External,1,25-11-2024,16,Monday,332,9,13,44,7259,10099,3.94,359,142,10,high
IG0000042,7,creator,3551,image,Travel,Explore,1,24-01-2025,6,Friday,162,2,4,25,4726,6342,3.04,184,124,10,medium
IG0000043,12,creator,13798,reel,Photography,Reels Feed,0,21-10-2025,2,Tuesday,36,1,2,10,2191,3085,1.59,872,125,10,low
IG0000044,8,brand,15986,carousel,Comedy,Reels Feed,1,09-06-2025,0,Monday,182,10,11,18,2994,4780,4.62,409,93,2,high
IG0000045,15,creator,8167,image,Photography,External,0,28-06-2025,4,Saturday,796,17,36,120,11931,14927,6.49,419,141,8,viral
IG0000046,3,brand,10018,reel,Music,Profile,0,29-07-2025,15,Tuesday,380,11,18,50,4926,7384,6.22,924,104,5,viral
IG0000047,14,creator,3083,image,Travel,Hashtags,0,17-05-2025,3,Saturday,114,1,4,13,1634,2605,5.07,49,128,5,high
IG0000048,17,creator,15923,carousel,Fitness,Home Feed,1,08-12-2024,14,Sunday,133,2,12,18,2230,3232,5.11,335,131,10,high
IG0000049,4,creator,4972,carousel,Technology,External,0,23-07-2025,22,Wednesday,109,1,8,12,3106,3478,3.74,885,115,11,medium
IG0000050,18,creator,7486,reel,Beauty,External,1,15-04-2025,16,Tuesday,149,1,6,26,5481,7116,2.56,370,144,10,medium
IG0000051,8,brand,15986,reel,Food,Reels Feed,1,12-03-2025,16,Wednesday,166,3,9,27,3436,4009,5.11,426,122,6,high
IG0000052,4,brand,4972,reel,Fashion,Hashtags,0,15-10-2025,12,Wednesday,28,2,2,8,2301,3165,1.26,870,120,8,low
IG0000053,2,creator,22291,image,Fitness,External,1,09-05-2025,23,Friday,336,12,14,47,5113,7017,5.83,514,108,6,viral
IG0000054,6,creator,10034,image,Travel,Profile,0,22-04-2025,10,Tuesday,273,8,17,41,12214,18325,1.85,947,129,9,low
IG0000055,10,brand,4542,carousel,Beauty,External,0,19-02-2025,15,Wednesday,154,5,8,23,4566,5996,3.17,637,115,6,medium
IG0000056,4,creator,4972,reel,Fitness,External,0,23-07-2025,3,Wednesday,96,1,4,12,2577,3508,3.22,576,130,5,medium
IG0000057,18,creator,7486,carousel,Travel,Home Feed,1,21-04-2025,14,Monday,179,3,10,21,2743,3141,6.78,621,103,13,viral
IG0000058,12,creator,13798,image,Lifestyle,Reels Feed,0,15-02-2025,11,Saturday,88,3,4,15,5256,7887,1.39,669,134,6,low
IG0000059,2,creator,22291,reel,Lifestyle,External,0,11-02-2025,13,Tuesday,89,0,3,18,2450,3197,3.44,685,127,9,medium
IG0000060,10,brand,4542,reel,Photography,Explore,0,14-10-2025,12,Tuesday,25,0,0,6,1249,1645,1.88,574,116,10,low
IG0000061,4,creator,4972,image,Fitness,Hashtags,0,20-12-2024,8,Friday,387,8,18,59,6898,11008,4.29,80,111,10,high
IG0000062,14,creator,3083,image,Lifestyle,Reels Feed,0,23-08-2025,14,Saturday,210,5,14,23,3588,5562,4.53,92,127,6,high
IG0000063,16,brand,9696,reel,Travel,Profile,1,17-12-2024,15,Tuesday,222,13,9,38,3230,4484,6.29,718,136,8,viral
IG0000064,15,creator,8167,carousel,Photography,Explore,0,20-03-2025,9,Thursday,830,20,32,115,17503,23815,4.19,493,123,6,high
IG0000065,8,creator,15986,image,Travel,Profile,1,27-06-2025,4,Friday,305,9,12,42,5675,8748,4.21,360,106,6,medium
IG0000066,14,brand,3083,image,Photography,Hashtags,1,06-07-2025,10,Sunday,611,20,27,89,22054,32271,2.31,886,115,8,medium
IG0000067,8,creator,15986,carousel,Fitness,External,1,04-07-2025,5,Friday,46,1,1,3,3430,4043,1.26,335,138,11,low
IG0000068,16,creator,9696,carousel,Beauty,Home Feed,1,22-04-2025,10,Tuesday,80,1,3,13,1217,1646,5.89,524,115,5,viral
IG0000069,13,creator,5824,image,Technology,Reels Feed,0,31-12-2024,1,Tuesday,112,3,7,20,3818,5470,2.6,816,125,6,medium
IG0000070,18,brand,7486,reel,Comedy,External,0,17-06-2025,18,Tuesday,377,12,18,45,7438,11663,3.88,358,151,6,medium
IG0000071,15,creator,8167,carousel,Beauty,Reels Feed,0,08-02-2025,22,Saturday,222,11,12,38,7073,11199,2.53,244,130,6,medium
IG0000072,13,creator,5824,carousel,Music,Home Feed,1,09-05-2025,14,Friday,56,2,4,11,1464,1925,3.79,555,126,2,medium
IG0000073,9,creator,6916,carousel,Travel,External,1,26-07-2025,11,Saturday,171,0,12,29,5473,6041,3.51,228,117,8,medium
IG0000074,15,brand,8167,image,Music,External,0,30-10-2025,6,Thursday,147,5,6,18,2483,3019,5.83,741,110,8,viral
IG0000075,13,creator,5824,reel,Beauty,Hashtags,0,23-01-2025,5,Thursday,283,8,13,50,5771,8206,4.31,215,106,7,high
IG0000076,1,brand,9461,image,Photography,Reels Feed,0,12-04-2025,10,Saturday,374,20,18,57,6971,8922,5.26,145,122,2,high
IG0000077,7,creator,3551,carousel,Comedy,Profile,0,29-06-2025,3,Sunday,98,2,7,17,5374,6205,2,974,137,11,low
IG0000078,9,creator,6916,carousel,Comedy,Reels Feed,0,14-12-2024,13,Saturday,442,14,26,62,13229,17187,3.17,73,134,7,medium
IG0000079,1,brand,9461,image,Fashion,Explore,0,20-10-2025,9,Monday,20,0,1,0,649,927,2.27,730,132,11,medium
IG0000080,12,creator,13798,carousel,Comedy,Hashtags,0,02-06-2025,14,Monday,424,16,14,69,5620,8267,6.33,550,133,11,viral
IG0000081,8,creator,15986,image,Technology,External,0,21-02-2025,3,Friday,304,10,10,46,4974,6248,5.92,290,128,8,viral
IG0000082,11,creator,9044,carousel,Comedy,Hashtags,0,11-04-2025,12,Friday,208,6,11,23,3185,4755,5.22,52,105,6,high
IG0000083,19,creator,3447,carousel,Beauty,External,0,27-04-2025,7,Sunday,103,1,2,19,5072,7960,1.57,632,128,6,low
IG0000084,17,creator,15923,image,Fashion,Profile,0,26-06-2025,23,Thursday,217,8,11,41,3855,5311,5.22,214,106,12,high
IG0000085,8,brand,15986,carousel,Beauty,Reels Feed,1,03-01-2025,7,Friday,264,15,14,44,11942,18409,1.83,109,111,7,low
