,Name,Type,Managed by,Location
0,Charak Palika Hospital,Public,New Delhi Municipal Council,Moti Bagh
1,Dharamshila Narayana Superspeciality Hospital,Private,Narayana Health,Vasundhara Enclave
2,Dr. Ram Manohar Lohia Hospital,Public,Government of India,Connaught Place
3,Guru Teg Bahadur Hospital,Public,Government of NCT of Delhi,Dilshad Garden
4,Indraprastha Apollo Hospital,Private,Apollo Hospitals,Jasola Vihar
5,Lok Nayak Hospital,Public,Government of NCT of Delhi,Jawaharlal Nehru Marg
6,Maharaja Agrasen Hospital,Private,Maharaja Agrasen Hospital Charitable Trust,Punjabi Bagh
7,Max Med Centre & Institute of Cancer Care,Private,Max Healthcare,Lajpat Nagar
8,Rajiv Gandhi Cancer Institute and Research Centre,Private,Indraprastha Cancer Society and Research Centre,Niti Bagh & Rohini
9,Safdarjung Hospital,Public,Government of India,Ansari Nagar West
10,Sanjeevan Hospital,Private,,Daryaganj
11,Sir Ganga Ram Hospital,Private,,Rajinder Nagar
12,St. Stephen's Hospital,Private,,Tis Hazari
13,Dr. Rupali's Abortion Hospital,Private,Dr. Rupali Mishra,Pul Pehladpur [3]
14,Charak Palika Hospital,Public,New Delhi Municipal Council,Moti Bagh
15,Dharamshila Narayana Superspeciality Hospital,Private,Narayana Health,Vasundhara Enclave
16,Dr. Ram Manohar Lohia Hospital,Public,Government of India,Connaught Place
17,Guru Teg Bahadur Hospital,Public,Government of NCT of Delhi,Dilshad Garden
18,Indraprastha Apollo Hospital,Private,Apollo Hospitals,Jasola Vihar
19,Lok Nayak Hospital,Public,Government of NCT of Delhi,Jawaharlal Nehru Marg
20,Maharaja Agrasen Hospital,Private,Maharaja Agrasen Hospital Charitable Trust,Punjabi Bagh
21,Max Med Centre & Institute of Cancer Care,Private,Max Healthcare,Lajpat Nagar
22,Rajiv Gandhi Cancer Institute and Research Centre,Private,Indraprastha Cancer Society and Research Centre,Niti Bagh & Rohini
23,Safdarjung Hospital,Public,Government of India,Ansari Nagar West
24,Sanjeevan Hospital,Private,,Daryaganj
25,Sir Ganga Ram Hospital,Private,,Rajinder Nagar
26,St. Stephen's Hospital,Private,,Tis Hazari
27,Dr. Rupali's Abortion Hospital,Private,Dr. Rupali Mishra,Pul Pehladpur [3]
28,Charak Palika Hospital,Public,New Delhi Municipal Council,Moti Bagh
29,Dharamshila Narayana Superspeciality Hospital,Private,Narayana Health,Vasundhara Enclave
30,Dr. Ram Manohar Lohia Hospital,Public,Government of India,Connaught Place
31,Guru Teg Bahadur Hospital,Public,Government of NCT of Delhi,Dilshad Garden
32,Indraprastha Apollo Hospital,Private,Apollo Hospitals,Jasola Vihar
33,Lok Nayak Hospital,Public,Government of NCT of Delhi,Jawaharlal Nehru Marg
34,Maharaja Agrasen Hospital,Private,Maharaja Agrasen Hospital Charitable Trust,Punjabi Bagh
35,Max Med Centre & Institute of Cancer Care,Private,Max Healthcare,Lajpat Nagar
36,Rajiv Gandhi Cancer Institute and Research Centre,Private,Indraprastha Cancer Society and Research Centre,Niti Bagh & Rohini
37,Safdarjung Hospital,Public,Government of India,Ansari Nagar West
38,Sanjeevan Hospital,Private,,Daryaganj
39,Sir Ganga Ram Hospital,Private,,Rajinder Nagar
40,St. Stephen's Hospital,Private,,Tis Hazari
41,Dr. Rupali's Abortion Hospital,Private,Dr. Rupali Mishra,Pul Pehladpur [3]
42,Charak Palika Hospital,Public,New Delhi Municipal Council,Moti Bagh
43,Dharamshila Narayana Superspeciality Hospital,Private,Narayana Health,Vasundhara Enclave
44,Dr. Ram Manohar Lohia Hospital,Public,Government of India,Connaught Place
45,Guru Teg Bahadur Hospital,Public,Government of NCT of Delhi,Dilshad Garden
46,Indraprastha Apollo Hospital,Private,Apollo Hospitals,Jasola Vihar
47,Lok Nayak Hospital,Public,Government of NCT of Delhi,Jawaharlal Nehru Marg
48,Maharaja Agrasen Hospital,Private,Maharaja Agrasen Hospital Charitable Trust,Punjabi Bagh
49,Max Med Centre & Institute of Cancer Care,Private,Max Healthcare,Lajpat Nagar
50,Rajiv Gandhi Cancer Institute and Research Centre,Private,Indraprastha Cancer Society and Research Centre,Niti Bagh & Rohini
51,Safdarjung Hospital,Public,Government of India,Ansari Nagar West
52,Sanjeevan Hospital,Private,,Daryaganj
53,Sir Ganga Ram Hospital,Private,,Rajinder Nagar
54,St. Stephen's Hospital,Private,,Tis Hazari
55,Dr. Rupali's Abortion Hospital,Private,Dr. Rupali Mishra,Pul Pehladpur [3]
56,Charak Palika Hospital,Public,New Delhi Municipal Council,Moti Bagh
57,Dharamshila Narayana Superspeciality Hospital,Private,Narayana Health,Vasundhara Enclave
58,Dr. Ram Manohar Lohia Hospital,Public,Government of India,Connaught Place
59,Guru Teg Bahadur Hospital,Public,Government of NCT of Delhi,Dilshad Garden
60,Indraprastha Apollo Hospital,Private,Apollo Hospitals,Jasola Vihar
61,Lok Nayak Hospital,Public,Government of NCT of Delhi,Jawaharlal Nehru Marg
62,Maharaja Agrasen Hospital,Private,Maharaja Agrasen Hospital Charitable Trust,Punjabi Bagh
63,Max Med Centre & Institute of Cancer Care,Private,Max Healthcare,Lajpat Nagar
64,Rajiv Gandhi Cancer Institute and Research Centre,Private,Indraprastha Cancer Society and Research Centre,Niti Bagh & Rohini
65,Safdarjung Hospital,Public,Government of India,Ansari Nagar West
66,Sanjeevan Hospital,Private,,Daryaganj
67,Sir Ganga Ram Hospital,Private,,Rajinder Nagar
68,St. Stephen's Hospital,Private,,Tis Hazari
69,Dr. Rupali's Abortion Hospital,Private,Dr. Rupali Mishra,Pul Pehladpur [3]
70,Charak Palika Hospital,Public,New Delhi Municipal Council,Moti Bagh
71,Dharamshila Narayana Superspeciality Hospital,Private,Narayana Health,Vasundhara Enclave
72,Dr. Ram Manohar Lohia Hospital,Public,Government of India,Connaught Place
73,Guru Teg Bahadur Hospital,Public,Government of NCT of Delhi,Dilshad Garden
74,Indraprastha Apollo Hospital,Private,Apollo Hospitals,Jasola Vihar
75,Lok Nayak Hospital,Public,Government of NCT of Delhi,Jawaharlal Nehru Marg
76,Maharaja Agrasen Hospital,Private,Maharaja Agrasen Hospital Charitable Trust,Punjabi Bagh
77,Max Med Centre & Institute of Cancer Care,Private,Max Healthcare,Lajpat Nagar
78,Rajiv Gandhi Cancer Institute and Research Centre,Private,Indraprastha Cancer Society and Research Centre,Niti Bagh & Rohini
79,Safdarjung Hospital,Public,Government of India,Ansari Nagar West
80,Sanjeevan Hospital,Private,,Daryaganj
81,Sir Ganga Ram Hospital,Private,,Rajinder Nagar
82,St. Stephen's Hospital,Private,,Tis Hazari
83,Dr. Rupali's Abortion Hospital,Private,Dr. Rupali Mishra,Pul Pehladpur [3]
